"codigo","descripcion","categoria"
"No vio ni sabía","Corresponde a respuestas que denotan desconocimiento total del hecho o ausencia completa de información sobre su contenido. Incluye situaciones en las que no hay registro de haber sabido, visto, escuchado o recordado nada al respecto. Excluye cualquier referencia que indique conocimiento del hecho o alguna forma de contacto, incluso indirecta o mínima.","Nivel de exposición"
"No vio pero sabía","Corresponde a respuestas que indican conocimiento de que ocurriría pero sin exposición a su contenido específico. Incluye casos en que la persona sabe que ocurriría, pero no lo vio, no lo escuchó ni lo siguió. Excluye respuestas con cualquier señal de exposición parcial por comentarios, medios, redes, fragmentos o repercusiones, y también aquellas de desconocimiento total.","Nivel de exposición"
"Exposición Parcial","Corresponde a respuestas que reflejan contacto limitado, fragmentario o indirecto con el contenido del hecho. Incluye exposición por extractos, comentarios, titulares, redes, medios o seguimiento incompleto. Excluye respuestas que solo indiquen conocimiento de la existencia del hecho sin contacto con su contenido, así como aquellas que evidencien seguimiento amplio, sostenido o detallado.","Nivel de exposición"
"Exposición Alta","Corresponde a respuestas que evidencian seguimiento amplio, sostenido o detallado del hecho, con acceso suficiente para reconstruir de forma desarrollada su contenido. Incluye situaciones de exposición directa y extensa. Excluye respuestas basadas en fragmentos, referencias parciales o contacto indirecto.","Nivel de exposición"
"Crisis de Seguridad","Corresponde a respuestas cuyo contenido recordado se centra en la inseguridad, los delitos, la falta de medidas o la insuficiencia de la respuesta frente al problema de seguridad. Incluye referencias generales a deterioro, crisis o fallas en materia de seguridad pública. Excluye respuestas enfocadas exclusivamente en cifras, sistema carcelario, casos específicos o comparaciones entre gestiones.","Dimensiones Temáticas (¿Qué recuerdan?)"
"Cifras y Datos","Corresponde a respuestas que recuerdan estadísticas, indicadores, números o discusiones sobre la validez de información cuantitativa. Incluye menciones a mediciones, datos presentados o cuestionamientos sobre su veracidad. Excluye valoraciones generales o políticas que no se organicen alrededor de un componente cuantitativo identificable.","Dimensiones Temáticas (¿Qué recuerdan?)"
"Sistema Carcelario","Corresponde a respuestas que recuerdan contenidos vinculados al encarcelamiento, la prisión, las penas, la liberación de presos o medidas alternativas dentro del sistema penitenciario. Incluye referencias específicamente orientadas a la cuestión carcelaria. Excluye menciones generales a inseguridad o delito sin contenido penitenciario explícito.","Dimensiones Temáticas (¿Qué recuerdan?)"
"Caso Marset","Corresponde a respuestas que aluden de forma directa e inequívoca al caso Marset. Incluye únicamente referencias claramente identificables a ese caso. Excluye asociaciones generales con narcotráfico, crimen organizado o inseguridad que no permitan identificarlo de manera específica.","Dimensiones Temáticas (¿Qué recuerdan?)"
"Gestión Comparada","Corresponde a respuestas que interpretan el contenido recordado mediante una comparación con gobiernos, autoridades o gestiones anteriores. Incluye contrastes temporales, políticos o administrativos entre distintas gestiones. Excluye respuestas centradas solo en la situación actual sin componente comparativo.","Dimensiones Temáticas (¿Qué recuerdan?)"
"Favorable al Interpelante","Corresponde a respuestas cuya orientación predominante valida, respalda o legitima la posición del interpelante ""Pedro Bordaberry"". Incluye evaluaciones que le atribuyen razón, acierto o capacidad de exponer problemas relevantes. Excluye respuestas meramente descriptivas de sus planteos y respuestas donde predomine el escepticismo o la neutralidad.","Tono"
"Favorable al Ministro","Corresponde a respuestas cuya orientación predominante respalda al ministro del interior ""Negro"", desacredita al interpelante en términos que impliquen una defensa relativa de la posición ministerial. Incluye evaluaciones que justifican, valoran o protegen la actuación del ministro. Excluye respuestas de rechazo general al episodio político sin alineamiento claro con la posición ministerial.","Tono"
"Escéptico / Cinismo","Corresponde a respuestas que interpretan el hecho como espectáculo político, ejercicio vacío, pérdida de tiempo o instancia sin valor sustantivo, sin alinearse claramente con ninguna de las partes. Incluye formulaciones donde predomina el descreimiento general. Excluye respuestas que toman partido reconocible por uno de los actores.","Tono"
"Neutral / Descriptivo","Corresponde a respuestas orientadas a describir hechos, actores o contenidos sin una evaluación reconocible a favor o en contra de ninguna parte. Incluye reconstrucciones informativas o descriptivas del episodio. Excluye respuestas con aprobación, desaprobación o cinismo, aunque estos aparezcan de forma acotada.","Tono"
