"codigo","descripcion","categoria"
"Ambas (Nuevas + Mejora)","Corresponde a respuestas que sostienen que la respuesta adecuada requiere tanto construir nuevas cárceles como mejorar las ya existentes. Incluye formulaciones donde se reconoce simultáneamente un problema de capacidad y un problema de condiciones o funcionamiento. Excluye respuestas que priorizan de manera clara una sola vía o que rechazan invertir en cárceles.","1. Prioridad de Inversión"
"Construcción (Nuevas)","Corresponde a respuestas que priorizan la creación de nuevas cárceles como solución principal al problema. Incluye argumentos centrados en falta de cupos, crecimiento de la población carcelaria o necesidad de ampliar capacidad. Excluye respuestas que enfatizan arreglar primero lo existente, combinar ambas estrategias o no invertir en el sistema carcelario.","1. Prioridad de Inversión"
"Mejora (Existentes)","Corresponde a respuestas que priorizan mejorar las cárceles ya existentes como respuesta principal. Incluye argumentos centrados en condiciones indignas, deterioro material o necesidad de rehabilitación dentro de la infraestructura actual. Excluye respuestas que privilegian construir nuevas cárceles o que combinan ambas estrategias de forma equilibrada.","1. Prioridad de Inversión"
"No Invertir / Otras áreas","Corresponde a respuestas que rechazan priorizar inversión en cárceles o sostienen que los recursos deberían orientarse a otras áreas. Incluye referencias a prioridades sociales alternativas o a la inconveniencia de destinar recursos al sistema penitenciario. Excluye respuestas que, aun con críticas, apoyan invertir en construir o mejorar cárceles.","1. Prioridad de Inversión"
"Dignidad Humana","Corresponde a respuestas que justifican la inversión apelando a la condición humana de las personas privadas de libertad y a su derecho a condiciones dignas. Incluye argumentos centrados en trato humano, respeto básico o vida digna durante el cumplimiento de la pena. Excluye respuestas cuyo foco esté en reducir reincidencia, clasificar presos o mejorar eficiencia del sistema sin apelar a dignidad humana como eje principal.","2. Justificación: Rehabilitación"
"Reincidencia / Escuela","Corresponde a respuestas que justifican la inversión porque las malas condiciones carcelarias favorecen reincidencia, empeoran a las personas o convierten la cárcel en un espacio que reproduce delito. Incluye la idea de que sin inversión salen más dañados o más proclives a reincidir. Excluye respuestas centradas en derechos, clasificación o castigo si no aparece la lógica de evitar reincidencia o agravamiento.","2. Justificación: Rehabilitación"
"Clasificación de Presos","Corresponde a respuestas que justifican la inversión por la necesidad de separar o especializar el tratamiento según perfil, peligrosidad o disposición al cambio. Incluye referencias a cárceles diferenciadas o segmentación de población penitenciaria. Excluye respuestas centradas en capacidad general, dignidad o castigo si no aparece la idea de clasificación.","2. Justificación: Rehabilitación"
"Trabajo Obligatorio","Corresponde a respuestas que sostienen que las personas privadas de libertad deben trabajar obligatoriamente como forma de compensación, disciplina o contribución al sostenimiento del sistema. Incluye ideas de trabajar para pagar comida, construir cárceles o sostener su propia manutención. Excluye posturas de castigo duro sin referencia al trabajo como mecanismo principal.","3. Justificación: Punitivismo"
"Máxima Seguridad / Castigo","Corresponde a respuestas que priorizan encierro duro, control estricto, aislamiento o endurecimiento del régimen carcelario. Incluye énfasis en máxima seguridad y castigo severo. Excluye respuestas de hartazgo ciudadano o trabajo obligatorio si no aparece una propuesta de endurecimiento material del encierro.","3. Justificación: Punitivismo"
"Hartazgo / Ciudadano de bien","Corresponde a respuestas que justifican la postura desde el cansancio social, la defensa del ciudadano honesto o la percepción de injusticia frente a beneficios para quienes delinquen. Incluye referencias a agravio moral, malestar ciudadano o sensación de que se premia al delincuente. Excluye propuestas centradas en trabajo obligatorio o máxima seguridad sin apelación al hartazgo social.","3. Justificación: Punitivismo"
"Mala Administración","Corresponde a respuestas que atribuyen el problema a incapacidad, mala gestión o decisiones erróneas de quienes administran el sistema. Incluye críticas a responsables, autoridades o prioridades de gestión. Excluye cuestionamientos centrados en privatización o en uso ineficiente de recursos si no predomina la crítica a la conducción.","4. Gestión y Recursos"
"Privatización / Tercerización","Corresponde a respuestas que proponen delegar la gestión o parte de la provisión del sistema a privados como forma de mejorar resultados o reducir costos. Incluye apelaciones explícitas a tercerización o gestión privada. Excluye críticas al Estado o al gasto que no planteen transferencia a actores privados.","4. Gestión y Recursos"
"Ineficiencia del Gasto","Corresponde a respuestas que cuestionan la utilidad de invertir más porque el gasto actual se desperdicia, se destruye o no se sostiene en el tiempo. Incluye referencias a mal uso, descuido o improductividad de los recursos. Excluye críticas de mala gestión general si no aparece el problema específico de ineficiencia del gasto.","4. Gestión y Recursos"
