"codigo","descripcion","categoria"
"Pro-Ministro","Corresponde a respuestas cuya orientación predominante respalda la posición del ministro en el debate sobre el uso de la cárcel frente a delitos de menor entidad. Incluye justificaciones que valoran positivamente la reducción del encarcelamiento cuando se la entiende como una forma más eficaz o razonable de abordar el problema. Excluye respuestas mixtas, respuestas centradas en castigo estricto y respuestas que validan predominantemente la posición de Bordaberry.","1. Postura Debate (Negro vs Bordaberry)"
"Pro-Bordaberry","Corresponde a respuestas cuya orientación predominante respalda la posición de Bordaberry en el debate, validando una respuesta penal firme frente al delito. Incluye argumentos que sostienen que el delito debe recibir cárcel o sanción estricta dentro del marco del debate planteado. Excluye respuestas cuyo foco principal sea el endurecimiento extremo del castigo como principio general, así como respuestas mixtas o predominantemente favorables al ministro.","1. Postura Debate (Negro vs Bordaberry)"
"Mixta / Gris","Corresponde a respuestas que reconocen elementos atendibles en ambas posiciones o que buscan un equilibrio entre castigo y alternativas sin alinearse de manera predominante con una sola parte. Incluye formulaciones intermedias, condicionales o matizadas. Excluye respuestas que, aun con matices, terminan favoreciendo claramente una de las posiciones enfrentadas.","1. Postura Debate (Negro vs Bordaberry)"
"Punitivismo Radical","Corresponde a respuestas cuya orientación predominante exige endurecimiento penal fuerte o medidas extremas como principio rector de la política frente al delito. Incluye planteos de sanción máxima, prisión obligatoria o castigos radicalizados que exceden el marco del debate específico entre las dos posturas. Excluye respuestas que solo apoyan una posición más dura dentro del debate sin llegar a un énfasis extremo.","1. Postura Debate (Negro vs Bordaberry)"
"NS / NC","Corresponde a respuestas que no permiten identificar una postura sustantiva por falta de información, ausencia de opinión, desconocimiento o imposibilidad de evaluar el tema. Incluye respuestas desinformadas, dubitativas o no opinativas. Excluye respuestas breves que, aun con escaso desarrollo, presenten una orientación reconocible.","1. Postura Debate (Negro vs Bordaberry)"
"Correcta","Corresponde a respuestas que valoran positivamente la actuación de la oposición como parte legítima del control, la fiscalización o el equilibrio democrático. Incluye percepciones según las cuales cuestionar, pedir explicaciones o señalar riesgos forma parte de su rol institucional. Excluye respuestas que solo coinciden con el contenido de la crítica opositora sin evaluar positivamente su función política como oposición.","2. Evaluación de la Oposición"
"Incorrecta","Corresponde a respuestas que valoran negativamente la actuación de la oposición por considerarla oportunista, obstructiva, destructiva, electoralista o poco útil. Incluye referencias a campaña, circo, palos en la rueda, crítica vacía o ausencia de aporte. Excluye desacuerdos con el contenido de la crítica opositora que no impliquen una evaluación explícita o predominante sobre su rol político.","2. Evaluación de la Oposición"
"Sin Definir","Corresponde a respuestas que no brindan elementos suficientes para evaluar el accionar de la oposición o que suspenden el juicio por falta de información. Incluye ausencia de posicionamiento sobre su rol. Excluye respuestas que, aunque breves, permitan identificar una evaluación favorable o desfavorable de la oposición.","2. Evaluación de la Oposición"
"Control Democrático","Corresponde a respuestas que justifican la actuación opositora como mecanismo legítimo de control, pedido de explicaciones, fiscalización o contrapeso institucional. Incluye argumentos centrados en la necesidad democrática de cuestionar al gobierno. Excluye respuestas favorables a la oposición basadas principalmente en indignación por la inseguridad o en preferencias punitivas sin referencia al rol de control.","3. Argumentos (Justificación)"
"Sentido Común / Justicia","Corresponde a respuestas que justifican la postura crítica desde una lógica de justicia, sentido común, gravedad del delito o necesidad de sanción. Incluye formulaciones donde predomina una intuición normativa sobre lo que corresponde hacer frente al delito. Excluye justificaciones basadas en control democrático o en valoraciones sobre el funcionamiento institucional de la oposición.","3. Argumentos (Justificación)"
"Electoralismo / ""Circo""","Corresponde a respuestas que interpretan la crítica opositora como espectáculo, oportunismo, campaña, circo político o búsqueda de rédito electoral. Incluye valoraciones donde predomina la idea de uso político del tema. Excluye críticas a la oposición basadas principalmente en su incoherencia histórica o en su falta de propuestas si no aparece la lógica de espectáculo o campaña.","3. Argumentos (Justificación)"
"Incoherencia / Pasado","Corresponde a respuestas que cuestionan a la oposición por contradicción con su trayectoria previa, por no haber resuelto el problema cuando gobernó o por criticar ahora lo que antes no corrigió. Incluye reproches apoyados en antecedentes de gestión. Excluye críticas centradas en oportunismo actual o falta de aportes presentes si no existe referencia al pasado.","3. Argumentos (Justificación)"
"Falta de Aportes","Corresponde a respuestas que cuestionan a la oposición por limitarse a criticar o destruir sin ofrecer soluciones, propuestas o caminos alternativos. Incluye valoraciones donde el problema central es la ausencia de aporte sustantivo. Excluye críticas cuyo eje principal sea el oportunismo electoral o la incoherencia histórica.","3. Argumentos (Justificación)"
"Cárcel = Escuela","Corresponde a respuestas que describen la cárcel como un espacio que empeora, endurece o reproduce el delito en lugar de corregirlo. Incluye la idea de que el encierro profundiza trayectorias delictivas o produce más criminalidad. Excluye respuestas centradas en saturación o en clasificación penitenciaria si no aparece la idea de agravamiento criminal.","4. Percepción del Sistema"
"Hacinamiento","Corresponde a respuestas que identifican la sobrepoblación o saturación del sistema penitenciario como un elemento central para comprender el problema. Incluye referencias a cárceles llenas, exceso de población carcelaria o capacidad insuficiente. Excluye críticas generales al sistema penitenciario que no se apoyen en la idea de saturación.","4. Percepción del Sistema"
"Diferenciación","Corresponde a respuestas que sostienen que la solución pasa por separar perfiles, niveles de peligrosidad o tipos de delito en lugar de aplicar el mismo tratamiento a todos. Incluye propuestas de clasificación o segmentación penitenciaria. Excluye referencias generales a más cárceles, castigo o alternativas si no aparece la lógica de diferenciación.","4. Percepción del Sistema"
