"codigo","descripcion","categoria"
"Pro-Gobierno / Ministro","Corresponde a respuestas cuya orientación predominante respalda la posición del gobierno o del ministro del interior ""Carlos Negro"" frente a la propuesta de evitar prisión en determinados casos. Incluye valoraciones que consideran razonable, adecuada o correcta una respuesta menos carcelaria cuando se la presenta como una forma de evitar efectos negativos del sistema penitenciario. Excluye respuestas que combinan apoyo con reparos sustantivos sin predominio claro, respuestas centradas en castigo estricto como principio general y respuestas que validan predominantemente la crítica opositora.","1. Postura General"
"Pro-Bordaberry / Oposición","Corresponde a respuestas cuya orientación predominante valida la crítica de la oposición en general o del interpelante ""Pedro Bordaberry""  a la flexibilización penal o a la posición del ministro. Incluye respuestas que consideran acertado el señalamiento de debilidad, error o riesgo en la postura oficial. Excluye respuestas cuyo foco principal sea una defensa abstracta del castigo o la cárcel sin alineamiento político reconocible con la crítica opositora, así como respuestas mixtas o favorables al ministro.","1. Postura General"
"Mixta / Punto Medio","Corresponde a respuestas que articulan elementos atendibles de más de una posición sin alinearse de manera predominante con una sola. Incluye formulaciones que aceptan parcialmente la crítica opositora y, al mismo tiempo, reconocen fundamentos en la postura del ministro, así como respuestas que proponen equilibrio entre sanción y alternativas. Excluye respuestas que, aun con matices, terminan privilegiando claramente una de las posiciones en disputa.","1. Postura General"
"Rechazo / Punitivismo extremo","Corresponde a respuestas cuya orientación predominante rechaza de forma enfática cualquier flexibilización penal y sostiene una lógica centrada en castigo, encierro o endurecimiento punitivo. Incluye posiciones que afirman que todo delito debe pagarse con cárcel o con sanciones severas, más allá del encuadre político del debate. Excluye respuestas opositoras moderadas donde el foco esté en criticar al gobierno o al ministro sin un énfasis punitivo dominante, así como respuestas mixtas o favorables a alternativas.","1. Postura General"
"NS/NC / Desinformado","Corresponde a respuestas que no expresan una postura sustantiva por falta de información, desconocimiento, ausencia de opinión o imposibilidad de evaluar el tema. Incluye respuestas desinformadas, dubitativas o no opinativas. Excluye respuestas breves que, aun con escaso desarrollo, permitan identificar una orientación reconocible.","1. Postura General"
"Cárcel como ""Escuela""","Corresponde a respuestas que describen la cárcel como un espacio que empeora la trayectoria delictiva, favorece el aprendizaje criminal o expone a personas con delitos menores a formas más graves de criminalidad. Incluye referencias a contaminación, reclutamiento o socialización en el delito dentro del encierro. Excluye respuestas centradas en hacinamiento, falta de rehabilitación o ineficacia del castigo si no aparece la idea específica de agravamiento criminal por contacto con el entorno carcelario.","2. Percepción del Sistema"
"Hacinamiento / Saturación","Corresponde a respuestas que identifican como problema principal la sobrepoblación, saturación o insuficiencia de capacidad del sistema penitenciario. Incluye referencias a cárceles llenas, superpoblación o desborde estructural del sistema. Excluye críticas generales al sistema penitenciario que no se apoyen en la idea de saturación material o demográfica.","2. Percepción del Sistema"
"Ineficacia de la Pena","Corresponde a respuestas que cuestionan la utilidad de la pena o del encarcelamiento como mecanismo para reducir delito, prevenir reincidencia o resolver el problema de fondo. Incluye formulaciones que presentan el castigo como ineficaz o insuficiente para producir mejores resultados en seguridad. Excluye respuestas cuyo foco esté en el deterioro producido por la cárcel, en la sobrepoblación o en la falta de rehabilitación institucional sin cuestionamiento explícito a la eficacia de la pena en sí misma.","2. Percepción del Sistema"
"Falta de Rehabilitación","Corresponde a respuestas que sostienen que el sistema penitenciario no recupera, no educa, no reinsertar o no transforma positivamente a las personas privadas de libertad. Incluye referencias a ausencia de rehabilitación, reinserción o mejora personal. Excluye respuestas centradas en que la cárcel empeora o criminaliza más si el foco no está en la insuficiencia rehabilitadora del sistema.","2. Percepción del Sistema"
"Efecto Contagio","Corresponde a respuestas que expresan temor a que personas con trayectorias delictivas leves se agraven por contacto con perfiles criminales más severos dentro del sistema penitenciario. Incluye la idea de contagio, aprendizaje o arrastre hacia formas más graves de delito. Excluye argumentos centrados en impunidad, debilidad estatal o manipulación política sin referencia a este mecanismo específico.","3. Argumentos y Temores"
"Debilidad / Impunidad","Corresponde a respuestas que interpretan la flexibilización penal como señal de permisividad, falta de autoridad o ausencia suficiente de consecuencias frente al delito. Incluye percepciones de que se afloja con la seguridad, que delinquir puede quedar sin sanción relevante o que se transmite una señal equivocada. Excluye argumentos basados en contagio criminal o sospecha sobre intenciones políticas si no aparece la idea de debilidad o impunidad.","3. Argumentos y Temores"
