codigo,descripcion
Infraestructura y Capacidad,"Referencias a la saturación de aulas, falta de edificios nuevos, problemas edilicios o necesidad de nuevos centros (Escuelas, Liceos o UTU) debido al crecimiento poblacional."
Extensión Horaria,"Solicitudes de centros de tiempo completo o jornada extendida (8 horas), vinculadas a la mejora del aprendizaje y la conciliación laboral."
Oferta Técnica y Profesional (UTU),"Necesidad de más cursos de oficios, formación técnica, agraria o tecnológica, orientada a la inserción laboral."
Equipos Multidisciplinarios y Apoyo,"Demandas de psicólogos, asistentes sociales, acompañantes terapéuticos y docentes de apoyo para atender la salud mental, conducta o dificultades de aprendizaje."
"Calidad, Exigencia y Valores","Críticas al nivel académico actual, pedidos de mayor exigencia, disciplina, formación en valores, ética de trabajo y compromiso docente."
Actividades Complementarias,"Propuestas para incluir más deportes, música, arte, idiomas (especialmente inglés), educación financiera y vial."
Educación Terciaria y Descentralización,"Necesidad de acceso a facultades, carreras universitarias o formación de grado fuera de Montevideo o en zonas alejadas."
Educación Inicial (Nivel 3),"Demandas específicas para cubrir la escolarización obligatoria de niños de 3 años, especialmente en horario completo."
Gestión y Servicios de Apoyo,"Menciones a la mejora en alimentación, seguridad en los entornos escolares, transporte gratuito en el interior y control administrativo (inspectores)."
Modalidades Flexibles (Virtualidad),Propuestas para implementar educación a distancia o en línea para mejorar la accesibilidad y movilidad.
