codigo,descripcion
Aumento/Frecuencia,"Clasifica textos que afirman que las estafas están creciendo en número o que ocurren de forma habitual. Incluye comentarios que mencionan aumento, repetición diaria o frecuencia alta. Palabras clave frecuentes: “aumentan”, “cada vez más”, “muy frecuentes”, “todos los días”. Excluye menciones a estafas sin referencia explícita a cambios en frecuencia."
Mayor Elaboración/Sofisticación,"Incluye textos que describen que las estafas se han vuelto más complejas, profesionales o difíciles de detectar. Se centra en la calidad del engaño. Palabras clave frecuentes: “elaboradas”, “sofisticadas”, “profesionales”, “convincente”. Excluye comentarios que solo mencionan aumento o frecuencia."
Segmentación - Personas Mayores,"Se usa cuando el texto afirma que las estafas apuntan específicamente a personas mayores o que este grupo es particularmente vulnerable. Palabras clave frecuentes: “adultos mayores”, “tercera edad”, “personas mayores”. Excluye referencias a otros grupos."
Segmentación - Extranjero/Cárcel,"Aplica cuando se indica que las estafas provienen del extranjero o se ejecutan desde cárceles. Palabras clave frecuentes: “extranjero”, “cárceles”, “centros de reclusión”. Excluye descripciones sin referencia explícita al origen externo o carcelario."
Tipo de Estafa - Suplantación de Identidad (Familiar/Amigo),"Incluye textos donde el estafador se hace pasar por un familiar o conocido para pedir dinero o ayuda urgente. Palabras clave frecuentes: “familiar”, “amigo”, “hijo”, “necesita dinero”. Excluye suplantación por parte de instituciones."
Tipo de Estafa - Marketplace/Ventas Online,"Clasifica textos sobre estafas vinculadas a compras o ventas digitales en plataformas como Marketplace. Palabras clave frecuentes: “marketplace”, “venta”, “producto que no llega”, “transferencia de más”. Excluye fraudes bancarios o hackeos no relacionados con transacciones."
Tipo de Estafa - Phishing/Bancos/Tarjetas,"Incluye comentarios donde los estafadores se hacen pasar por bancos o entidades financieras para obtener datos o dinero. Palabras clave frecuentes: “banco”, “tarjeta”, “BROU”, “correo del banco”. Excluye casos centrados en hackeos directos de cuentas."
Tipo de Estafa - Hackeo de Cuentas (WhatsApp/Redes),"Se asigna cuando se menciona acceso no autorizado a cuentas personales (WhatsApp, Instagram, correo). Palabras clave frecuentes: “hackearon”, “cuenta”, “accedieron”, “piden dinero desde mi cuenta”. Excluye phishing sin hackeo efectivo."
Tipo de Estafa - Premios/Sorteos Falsos,"Incluye textos que describen engaños basados en premios, concursos o sorteos inexistentes. Palabras clave frecuentes: “premio”, “sorteo”, “cuentas falsas”, “logos falsos”. Excluye fraudes sin referencia a recompensas."
Tipo de Estafa - Link Fraudulento,"Codifica textos que mencionan enlaces sospechosos sin detallar el tipo de estafa asociado. Palabras clave frecuentes: “link”, “enlace”, “fraudulento”, “falso”. Excluye casos donde el enlace se vincula claramente a phishing u otra modalidad definida."
Delito sin más especificación,"Incluye textos que solo describen la estafa como un delito sin caracterizar la modalidad. Palabras clave frecuentes: “delito”, “hurtar”, “roban datos”, “cuento del tío”. Excluye comentarios que permiten identificar el tipo de estafa."
Víctima de Estafa,"Se usa cuando la persona declara haber sido víctima o conocer un caso cercano. Palabras clave frecuentes: “fui víctima”, “me estafaron”, “lo viví”, “a mi madre/conocido”. Excluye relatos impersonales."
Informado sin especificar contenido,"Clasifica respuestas que confirman haber oído sobre estafas sin aportar detalles. Palabras clave frecuentes: “sí”, “mucho”, “he oído”. Excluye textos con información mínima clasificable."
Otras/NS/NR,"Se usa cuando la respuesta es irrelevante, no relacionada, confusa o expresa desconocimiento. Palabras clave frecuentes: “no sé”, “no he oído”. Excluye textos asignables a categorías definidas."

