rowid,sentimiento
1,NEU
2,NEU
3,POS
4,NEU
5,POS
6,NEU
7,NEU
8,NEU
9,NEU
10,NEU
11,NEU
12,NEU
13,NEU
14,NEU
15,NEU
16,NEU
17,NEU
18,NEU
19,NEU
20,NEU
21,NEU
22,NEU
23,NEU
24,POS
25,NEU
26,NEU
27,NEU
28,NEU
29,NEU
30,NEU
31,NEU
32,NEU
33,NEU
34,NEU
35,NEU
36,NEU
37,NEU
38,POS
39,NEG
40,NEU
41,NEU
42,NEU
43,NEU
44,NEU
45,NEU
46,NEU
47,NEU
48,NEU
49,NEU
50,NEU
51,NEG
52,NEU
53,NEU
54,POS
55,POS
56,NEU
57,NEU
58,POS
59,POS
60,POS
61,NEU
62,NEU
63,POS
64,POS
65,POS
66,NEU
67,NEU
68,NEU
69,NEU
70,NEU
71,NEU
72,NEU
73,POS
74,NEU
75,POS
76,POS
77,POS
78,POS
79,NEU
80,NEU
81,NEU
82,NEU
83,POS
84,POS
85,POS
86,NEU
87,NEU
88,NEU
89,NEU
90,NEU
91,NEU
92,POS
93,NEG
94,NEG
95,POS
96,NEU
97,NEU
98,NEU
99,NEU
100,POS
101,NEU
102,NEU
103,POS
104,POS
105,POS
106,NEG
107,NEG
108,NEU
109,NEU
110,NEU
111,NEU
112,NEU
113,POS
114,NEU
