codigo,descripcion
"INACCIÓN / LENTITUD","Clasifica textos que describen la gestión como lenta, paralizada o sin medidas visibles tras un tiempo razonable. Palabras clave: 'no ha hecho nada', 'flojo', 'no se ve gestión', 'sin movimiento'. Excluye argumentos que atribuyen la falta de resultados al poco tiempo o a la herencia recibida (ver COMIENZO GESTIÓN) y menciones a áreas específicas (ver GESTIÓN ÁREAS ESPECÍFICAS)."
"COMIENZO GESTIÓN","Clasifica textos que explican avances o carencias por el poco tiempo en el cargo o por problemas heredados, señalando que aún es temprano para evaluar. Palabras clave: 'recién empieza', 'lleva pocos meses', 'todavía no se puede evaluar', 'heredó un desastre'. Excluye juicios de lentitud sin referencia al tiempo (INACCIÓN / LENTITUD) y evaluaciones centradas en áreas concretas."
"APOYO GENÉRICO","Clasifica textos que aprueban o expresan confianza de forma general sin mencionar políticas, áreas o hechos específicos. Palabras clave: 'va bien', 'tengo fe', 'lo apoyo', 'va cumpliendo'. Excluye referencias a logros o fallas en áreas concretas (GESTIÓN ÁREAS ESPECÍFICAS) y opiniones sobre rasgos personales (CAPACIDAD / ACTITUD PERSONAL)."
"INCONSISTENCIA PROMESAS","Clasifica textos que reprochan incumplir promesas de campaña o actuar en sentido contrario a lo prometido. Palabras clave: 'no cumplió', 'promesas rotas', 'dijo que y no', 'mintió'. Excluye críticas a la lentitud (INACCIÓN / LENTITUD) o al estilo de liderazgo (LIDERAZGO DÉBIL) cuando no se mencionan promesas."
"LIDERAZGO DÉBIL","Clasifica textos que cuestionan la firmeza o autonomía del líder: tibieza, falta de carácter o ser manejado por otros. Palabras clave: 'títere', 'sin personalidad', 'tibio', 'no se planta'. Excluye críticas a su visibilidad o comunicación (COMUNICACIÓN / PROTAGONISMO) y a su ética o esfuerzo personal (CAPACIDAD / ACTITUD PERSONAL)."
"COMUNICACIÓN / PROTAGONISMO","Clasifica textos que señalan poca presencia pública, mala oratoria, mensajes confusos o falta de comunicación. Palabras clave: 'no aparece', 'no comunica', 'no sabe hablar', 'incoherente'. Excluye cuestionamientos a la firmeza de liderazgo (LIDERAZGO DÉBIL) y comentarios sobre honestidad o capacidad de trabajo (CAPACIDAD / ACTITUD PERSONAL)."
"DESAPROBACIÓN GENÉRICA","Clasifica textos que rechazan la gestión sin razones concretas, usando desagrado o calificativos negativos sin justificar. Palabras clave: 'no me gusta', 'vergüenza', 'porque sí'. Excluye críticas que den algún motivo identificable (asignar al código temático correspondiente)."
"GESTIÓN ÁREAS ESPECÍFICAS","Clasifica textos que mencionan logros, problemas o fallas en áreas de política pública concretas (seguridad, empleo, economía, salud, viajes oficiales, etc.). Palabras clave: nombres de áreas o medidas específicas. Excluye valoraciones generales sin área (APOYO GENÉRICO o DESAPROBACIÓN GENÉRICA) y juicios sobre estilo o rasgos personales."
"CAPACIDAD / ACTITUD PERSONAL","Clasifica textos centrados en cualidades personales del presidente: honestidad, ética, esfuerzo, apariencia o actitud. Palabras clave: 'trabajador', 'honesto', 'buena persona', 'apariencia'. Excluye críticas a la firmeza de liderazgo (LIDERAZGO DÉBIL) y observaciones sobre comunicación pública (COMUNICACIÓN / PROTAGONISMO)."
"OPOSICIÓN / EQUIPO","Clasifica textos que atribuyen avances o bloqueos a la oposición, aliados o equipo de gobierno (ministros, asesores), señalando apoyo o trabas. Palabras clave: 'oposición pone trabas', 'no lo dejan gobernar', 'equipo', 'trabaja en equipo'. Excluye valoraciones personales del líder y menciones a políticas específicas."
"EVALUACIÓN MIXTA","Clasifica textos que combinan elementos positivos y negativos o presentan un balance entre logros y problemas. Palabras clave: 'algunas cosas bien y otras mal', 'balance', 'luces y sombras'. Excluye apoyos o críticas unilaterales y menciones a áreas específicas sin contrapeso."
"CORRIGIENDO HERENCIA","Clasifica textos que explican la gestión actual en función de la herencia del gobierno anterior (p. ej., LLP), justificando demoras o comparando con la situación recibida. Palabras clave: 'lo que dejaron', 'heredó', 'arreglar lo anterior'. Excluye referencias al tiempo en abstracto sin aludir a herencia (COMIENZO GESTIÓN)."
"Otras/NS/NR","Clasifica textos irrelevantes, incomprensibles o que declaran no saber/no opinar. Palabras clave: 'no sé', 'ns/nr', respuestas fuera de tema. Excluye cualquier comentario con un argumento identificable que encaje en otros códigos."
