cat_cerrada,codigo,descripcion
Empleo,Micro - Incentivos Empleo,"Comentarios que proponen medidas directas para estimular la contratación laboral mediante subsidios, beneficios fiscales, programas de apoyo o compensaciones económicas a empleadores, con foco en reducir costos o riesgos de contratación inmediata. Palabras clave: subsidio, beneficio, exoneración, incentivo, contratar, apoyo a empresas. Excluye comentarios sobre estímulo económico general o empleo sin intervención directa sobre empleadores."
Empleo,Macro - Incentivos Inversión,"Comentarios que sugieren generar empleo indirectamente mediante incentivos a inversión, crecimiento del sector privado, atracción de capital o mejora del entorno económico. Palabras clave: inversión, atraer empresas, capital, crecimiento, desarrollo productivo. Excluye medidas directas de contratación, subsidios específicos a empleadores o reducción del Estado."
Empleo,Reducción Estado,"Comentarios que proponen disminuir el tamaño del Estado mediante recorte de personal público, reducción de dependencias o funciones gubernamentales. Palabras clave: achicar, reducir, recorte, despedir, personal público, Estado, burocracia, funciones estatales. Excluye propuestas de incentivos, subsidios o empleo privado sin referencia a reducción estatal."
Empleo,Empleo Genérico,"Comentarios que sugieren mejorar la situación laboral de forma general, sin detallar responsables, mecanismos o medidas específicas. Palabras clave: más trabajo, generar empleo, oportunidades laborales. Excluye comentarios sobre incentivos concretos, regulación o intervención estatal."
Empleo,Prioridad Trabajadores Nacionales,"Comentarios que proponen que uruguayos tengan prioridad o igualdad de oportunidades sobre extranjeros en la contratación o generación de empleo. Palabras clave: uruguayos, extranjeros, igualdad de oportunidades, prioridad laboral. Excluye menciones generales a empleo, incentivos o formación sin referencia explícita a comparación nacional/extranjero."
Empleo,Regulación,"Comentarios que proponen medidas de regulación, control, supervisión o garantías para mejorar condiciones laborales, incluyendo estabilidad, derechos o capacitación. Palabras clave: regulación, control, supervisión, garantías, derechos laborales, estabilidad, capacitación. Excluye comentarios sobre creación de empleo general, incentivos o reducción del Estado sin mención de regulación."
Empleo,Crítica Autorregulación,"Comentarios que critican políticas de autorregulación del mercado, señalando efectos negativos sobre empleo u oportunidades laborales. Palabras clave: autorregulación, mercado, liberalización, libre mercado, desregulación. Excluye comentarios neutrales o positivos sobre autorregulación, subsidios, reducción del Estado o empleo público."
Empleo,Intervención Estatal,"Comentarios que valoran o proponen acción directa del Estado en creación o ampliación de programas, planes o empleos públicos. Palabras clave: plan solidario, jornales, programas del gobierno, acción estatal, intervención directa. Excluye incentivos privados, autorregulación o reducción del Estado."
Empleo,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Empleo,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Seguridad,Interpartidario,"Comentarios que mencionan la necesidad de colaboración entre partidos políticos para abordar problemas de seguridad. Palabras clave: todos los partidos, colaboración política, unidad, consenso, apoyo interpartidario. Excluye menciones a medidas individuales, policiales o sanciones sin referencia a cooperación política."
Seguridad,Presencia Policial,"Comentarios que proponen aumentar control o presencia policial en espacios públicos para mejorar la seguridad. Palabras clave: policía, patrullaje, control, presencia policial, vigilancia en calles, barrios. Excluye medidas de infraestructura, tecnología o regulación sin presencia policial directa."
Seguridad,Infraestructura para Seguridad,"Comentarios que sugieren inversiones físicas o ambientales para prevenir delitos, como iluminación, cámaras, mantenimiento urbano o adaptaciones de espacios públicos. Palabras clave: iluminación, cámaras, espacios públicos, adaptaciones urbanísticas, puntos ciegos, mantenimiento. Excluye presencia policial, sanciones o medidas normativas sin referencia a infraestructura."
Seguridad,Corrupción,"Comentarios que expresan necesidad de ética, transparencia o conducta ejemplar para mejorar la seguridad. Palabras clave: corrupción, robar, ética, dar el ejemplo, transparencia. Excluye comentarios sobre sanciones, policía o empleo sin referencia a conducta ética o corrupción."
Seguridad,Coacción/Mano Dura,"Comentarios que proponen sanciones más severas o ampliar facultades coercitivas de las fuerzas policiales. Palabras clave: leyes más severas, castigo, mano dura, sanciones, coerción, policía más fuerte. Excluye prevención social, infraestructura o incentivos sin sanción o coerción."
Seguridad,Narcotráfico/Drogas,"Comentarios que identifican drogas o narcotráfico como causa principal de inseguridad. Palabras clave: droga, narcotráfico, drogas ilegales, consumo, tráfico. Excluye delincuencia general sin mención a drogas o narcotráfico."
Seguridad,Problemas Sociales,"Comentarios que sugieren políticas públicas para abordar problemas sociales (desempleo, pobreza, desigualdad) como medio para mejorar seguridad o bienestar. Palabras clave: empleo, desigualdad, pobreza, políticas públicas, infraestructura, servicios públicos, oportunidades. Excluye sanciones, policía, regulación o narcotráfico sin abordar problemas sociales."
Seguridad,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Seguridad,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Transporte,Mejorar Calidad - General,"Comentarios que proponen mejorar la calidad del transporte, priorizando eficiencia, confort o confiabilidad. Palabras clave: calidad, servicio, confiabilidad, eficiencia, comodidad. Excluye precio, infraestructura o control de tránsito sin referencia a calidad del servicio."
Transporte,Nuevas Empresas,"Comentarios que sugieren crear nuevas empresas de transporte para aumentar competencia o cubrir demanda. Palabras clave: nuevas empresas, competencia, ampliar oferta, transporte público. Excluye mejora de gestión existente o intervención estatal."
Transporte,Responsabilidad Empresas,"Comentarios que atribuyen responsabilidad del transporte a empresas privadas. Palabras clave: empresa, operador, responsabilidad, gestión privada. Excluye medidas del gobierno, regulación o intervención estatal."
Transporte,Agilizar Cambios,"Comentarios que proponen acelerar implementación de medidas o cambios ya anunciados. Palabras clave: agilizar, acelerar, implementar, cambios prometidos, medidas anunciadas. Excluye sugerencias de nuevas políticas, infraestructura o empresas."
Transporte,Pesimismo,"Comentarios que expresan falta de esperanza o expectativas negativas sobre mejoras en transporte. Palabras clave: no espero nada, imposible, siempre igual, sin solución. Excluye propuestas concretas o soluciones."
Transporte,Control Tránsito / Fiscalización,"Comentarios que sugieren mayor control de tránsito o fiscalización para mejorar movilidad. Palabras clave: control, fiscalización, agentes de tránsito, multas, estacionamiento, supervisión. Excluye infraestructura, calidad del servicio o precio del boleto sin referencia a control/fiscalización."
Transporte,Infraestructura / Señalética,"Comentarios que proponen mejorar infraestructura vial y señalización para movilidad. Palabras clave: infraestructura, calles, señalización, semáforos, flechas, mantenimiento vial. Excluye control policial, fiscalización, calidad del servicio o precio del boleto."
Transporte,Precio Boleto,"Comentarios que sugieren reducción del precio del transporte público como solución principal. Palabras clave: bajar precio, tarifa, boleto, costo, más barato. Excluye calidad del servicio, infraestructura, control o nuevas empresas sin referencia a precio."
Transporte,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Transporte,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Educación,Presupuesto,"Comentarios que mencionan falta de recursos o necesidad de mayor financiamiento en educación, incluyendo docentes, infraestructura o materiales. Palabras clave: presupuesto, recursos, financiamiento, fondos, escasez de docentes, escasez de materiales. Excluye mejoras privadas, eficiencia o apoyo docente sin referencia a recursos o financiamiento."
Educación,Garantizar Calidad/Eficiencia,"Comentarios que destacan rol del Estado en garantizar educación de calidad y eficiencia, incluyendo selección de personal, planificación o infraestructura. Palabras clave: Estado, gobierno, garantizar, calidad, eficiencia, aprendizaje, docentes, infraestructura, planificación, soluciones. Excluye comentarios sobre recursos generales, apoyo docente o control de gastos sin referencia explícita a calidad/eficiencia."
Educación,Controles Gastos,"Comentarios que proponen supervisión o control del gasto educativo para mejorar eficiencia. Palabras clave: control de gastos, supervisión, administración, auditoría, eficiencia, manejo de fondos. Excluye presupuesto general, selección de docentes, calidad educativa o apoyo docente sin referencia a control de gastos."
Educación,Apoyo Docentes,"Comentarios que sugieren apoyo directo a docentes o equipos educativos, incluyendo protección, formación o acompañamiento. Palabras clave: apoyo, docentes, resguardo, formación, acompañamiento, personal educativo. Excluye presupuesto, infraestructura, control de gastos o calidad educativa sin mención al apoyo docente."
Educación,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Educación,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Salud,Subsidios,"Comentarios que proponen subsidios o reducción de precios para medicamentos, atención médica o servicios de salud, aumentando acceso. Palabras clave: subsidio, gratuito, bajo costo, precio reducido, medicamentos, atención médica, psicología, psiquiatría. Excluye mejoras generales, aumento de personal o control de privados sin referencia a subsidios/costos."
Salud,Salud - General,"Comentarios que sugieren mejorar el sistema de salud en general sin medidas concretas ni responsables. Palabras clave: mejorar salud, sistema de salud, atención médica, emergencias, disponibilidad de medicación. Excluye subsidios, personal, regulación de privados o control de gastos."
Salud,Personal de Salud,"Comentarios que mencionan necesidad de aumentar o mejorar personal médico, incluyendo especialistas y personal capacitado. Palabras clave: personal, médicos, especialistas, enfermeros, capacitado, contratar, más horas, disponibilidad. Excluye subsidios, control de privados o mejoras generales sin referencia a personal."
Salud,Control Privados,"Comentarios que proponen regular o controlar mutualistas, sociedades privadas o prestadores para reducir precios de atención o medicamentos. Palabras clave: regular, controlar, mutualistas, sociedades privadas, precios, costos, cobros, tarifas. Excluye subsidios, mejoras generales o aumento de personal sin referencia a control de privados."
Salud,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Salud,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Cuidados,Políticas Públicas Existentes,"Comentarios que mencionan necesidad de que políticas públicas ya implementadas funcionen correctamente, incluyendo seguimiento, cumplimiento o eficacia. Palabras clave: política pública, medidas existentes, implementación, funcionamiento, cumplir, seguimiento, eficacia. Excluye propuestas de nuevas políticas, incentivos, subsidios o soluciones sin referencia a políticas existentes."
Cuidados,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
Cuidados,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente por ser ambiguos, generales, irrelevantes o de un tema completamente nuevo. Se aplica solo por exclusión y no interpreta ni asume contexto. Excluye comentarios que puedan clasificarse claramente en cualquier categoría existente."
Infrestructura Urbana,No Sabe / No Contesta,"Comentarios que indican explícitamente que el autor no sabe, no tiene opinión o no responde a la pregunta. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo."
