codigo,descripcion
incumplimiento_de_promesas,Incumplimiento de Promesas: Referencias a la brecha entre el discurso electoral (promesas) y la acción gubernamental efectiva. Sensación de engaño.
hartazgo_y_decepcion,"Hartazgo y Decepción: Expresiones de agotamiento emocional, aburrimiento o cansancio acumulado hacia el sistema o los actores políticos."
corrupcion_y_falta_de_etica,"Corrupción y Falta de Ética: Menciones a la deshonestidad, escándalos, acomodos, falta de transparencia o búsqueda del beneficio propio/económico."
brecha_representativa,"Brecha Representativa: Percepción de que los políticos están alejados de la realidad ciudadana, de los problemas ""reales"" o del ""pueblo""."
desconexion_juvenil,"Desconexión Juvenil: Alusiones específicas a las nuevas generaciones, el uso de redes sociales y la falta de formatos adecuados para informarles."
escepticismo_son_todos_iguales,"Escepticismo: ""Son todos iguales"": Visión de que no hay diferencias sustanciales entre partidos o que el cambio de gobierno no altera la estructura de poder."
diferenciacion_conceptual,"Diferenciación Conceptual: Respuestas que distinguen entre el desinterés por la política partidaria (el ""circo"") y el interés por lo político o social."
dinamica_de_confrontacion,"Dinámica de Confrontación: Crítica al estilo de debate político basado en la agresión, la queja constante o el ""teatro"" parlamentario."
factores_socio_culturales,"Factores Socio-Culturales: Explicaciones basadas en la inmediatez de la sociedad actual, el individualismo o la falta de formación intelectual de los líderes."
sin_respuesta_no_aplica,"Sin respuesta / No aplica: Respuestas que no ofrecen una razón, son tautológicas o solo repiten la escala de acuerdo."
