codigo,descripcion
costo_de_vida_y_canasta_basica,"Costo de Vida y Canasta Básica: Referencias al encarecimiento de productos esenciales, alimentos, servicios y la dificultad de ""llegar a fin de mes""."
desempleo_y_cierre_de_empresas,"Desempleo y Cierre de Empresas: Preocupación por la falta de fuentes de trabajo, el cierre de fábricas/comercios locales y la huida de multinacionales."
insuficiencia_salarial_y_jubilatoria,"Insuficiencia Salarial y Jubilatoria: Menciones a sueldos y pasividades que no acompañan la inflación o que son considerados ""magros"" o de ""remuneración escasa""."
barreras_de_edad_empleo,Barreras de Edad (Empleo): Dificultad específica para conseguir trabajo en franjas etarias críticas: jóvenes (primer empleo) y mayores de 40/50 años.
carga_impositiva_y_gasto_publico,"Carga Impositiva y Gasto Público: Crítica a la presión fiscal, los impuestos altos, el costo del Estado y la percepción de ""despilfarro"" de recursos públicos."
inversion_y_estancamiento,"Inversión y Estancamiento: Preocupación por la falta de inversión extranjera, la falta de incentivos para emprender y la sensación de economía frenada."
pobreza_y_vulnerabilidad_social,"Pobreza y Vulnerabilidad Social: Alusiones a la gente en situación de calle, el hambre, la desigualdad y la situación de la infancia."
vivienda_y_alquileres,"Vivienda y Alquileres: Preocupación por el acceso al techo, el precio de los alquileres y la falta de políticas habitacionales para jóvenes."
factores_externos_globales,"Factores Externos (Globales): Menciones a la coyuntura internacional, guerras y el precio del petróleo como factores que encarecen la economía interna."
seguridad_y_narcotrafico,"Seguridad y Narcotráfico: Respuestas que, aunque la pregunta es económica, vinculan la economía con el delito o el narco como ""opción de ingreso""."
sin_respuesta_no_aplica,"Sin respuesta / No aplica: Respuestas evasivas, expresiones de desconocimiento o que no aportan un motivo concreto."
