codigo,descripcion
Dignidad y Vida,"Referencia a la esencia del ser humano, el valor intrínseco de la vida y el derecho a existir con respeto."
Memoria y Dictadura,"Relación directa con el pasado reciente de Uruguay, terrorismo de Estado, detenidos desaparecidos y la Marcha del Silencio."
Necesidades Básicas,"Enfoque en condiciones materiales mínimas para la subsistencia como salud, vivienda, alimento y educación."
Derecho y Normativa,"Definiciones de carácter técnico, jurídico o académico; mención a convenciones, leyes y la Constitución."
Libertad y Expresión,"Énfasis en la autonomía individual, la libertad de movimiento, de opinión y el libre albedrío."
Visión Crítica / Sesgo Político,"Percepción de que el término está ""bastardeado"" o que se utiliza para proteger a delincuentes en detrimento de la autoridad."
Igualdad y Universalidad,"Idea de que los derechos corresponden a todas las personas sin distinción de raza, clase, género o religión."
Empatía y Convivencia,"Asociación con sentimientos de sensibilidad, cercanía, respeto mutuo y el límite del derecho propio frente al ajeno."
Protección de Vulnerables,"Mención a grupos específicos que requieren especial atención, como niños, ancianos o personas en situación de calle."
Inacción o Incumplimiento,Sensación de que son conceptos abstractos que no se aplican en la realidad o que se ignoran en conflictos actuales.
