codigo,descripcion
TRATAMIENTO/MEDICACIÓN,"Respuestas que priorizan ampliar el acceso y/o la calidad de tratamiento, rehabilitación o medicación para personas consumidoras. Incluye pedidos de más centros, cobertura de salud mental, personal especializado y acompañamiento familiar. Excluye campañas preventivas sin servicios clínicos (PREVENCIÓN) y enfoques punitivos o policiales (CASTIGO/PENAS, ATAQUE AL GRAN TRÁFICO, ATAQUE A MINORISTA)."
CASTIGO/PENAS,"Pide penas más duras, cárcel, sanciones ejemplares o mano dura contra delitos de drogas sin distinguir nivel. Incluye aumentar penas, endurecer leyes o castigar con mayor severidad. Excluye focos en carteles o cargamentos (ATAQUE AL GRAN TRÁFICO) o en bocas/venta callejera (ATAQUE A MINORISTA); si combina varios ejes, usar MIX."
ATAQUE AL GRAN TRÁFICO,"Prioriza perseguir y desarticular grandes traficantes, carteles, cargamentos a escala o mandos altos. Incluye investigaciones a puertos/aeropuertos cuando el foco es interceptar envíos masivos y líderes. Excluye énfasis en bocas barriales o venta callejera (ATAQUE A MINORISTA) y en controles físicos de frontera como política central (CONTROL DE FRONTERAS)."
ATAQUE A MINORISTA,"Foco en reprimir o cerrar bocas de venta, narcomenudeo y vendedores al menudeo en barrios o calles. Incluye pedidos de más patrullaje barrial o clausura de puntos de venta. Excluye persecución a carteles o grandes cargamentos (ATAQUE AL GRAN TRÁFICO) y solicitudes genéricas de penas sin nivel específico (CASTIGO/PENAS)."
PREVENCIÓN,"Propone campañas educativas, información o programas comunitarios/escolares para prevenir el consumo y sus consecuencias. Incluye concientización de riesgos, educación temprana y espacios de orientación. Excluye tratamiento de consumidores ya dependientes (TRATAMIENTO/MEDICACIÓN) y medidas punitivas o regulatorias."
CONTROL LAVADO,"Plantea controlar, investigar o sancionar el lavado de activos y los flujos financieros del narcotráfico. Incluye trazabilidad de dinero, controles bancarios y decomiso de bienes. Excluye persecución directa a ventas o cargamentos (ATAQUE AL GRAN TRÁFICO/ATAQUE A MINORISTA) y controles físicos de ingreso al país (CONTROL DE FRONTERAS)."
MIX,"Respuesta que combina explícitamente múltiples ejes sin priorizar uno (p. ej., tratamiento + penas + control de fronteras) o lista varias opciones. Úsese solo cuando se mencionan dos o más políticas de forma conjunta. Excluye alusiones predominantes a un único eje."
REGULACIÓN/LEGALIZACIÓN,"Sugiere regular, legalizar o despenalizar drogas para quitar el negocio al narcotráfico, controlar el mercado o recaudar. Incluye venta controlada en farmacias, regulación estatal e impuestos. Excluye pedidos de permisos limitados a turistas para cannabis (tema Q7) y medidas punitivas."
CORRUPCIÓN/COMPLICIDAD POLÍTICA,"Señala corrupción o connivencia de políticos, policías o autoridades como causa central y demanda sancionarlos o terminar la complicidad. Incluye acusaciones de protección institucional, vista gorda o participación de funcionarios. Excluye referencias a carteles sin aludir a autoridades (ATAQUE AL GRAN TRÁFICO)."
CONTROL DE FRONTERAS,"Propone reforzar controles en fronteras, puertos, aeropuertos o rutas para impedir ingreso/salida de drogas. Incluye escáneres, patrullaje, aduanas y radares. Excluye persecución interna a redes o bocas (ATAQUE AL GRAN TRÁFICO/ATAQUE A MINORISTA) salvo que el eje central sea el control de acceso."
OTROS/NS/NR,"Respuestas vagas, no relacionadas, incomprensibles, con 'no sé/no estoy informado', numerales sin contexto o menciones genéricas sin contenido; incluye casos residuales con muy baja frecuencia. Excluye cualquier mención que encaje claramente en otro código."
