rowid,motivo
1,impacto_contextual
2,preocupacion_autoritaria
3,preocupacion_autoritaria
4,ineficacia_justicia
5,impacto_contextual
6,NA
7,seguridad_publica
8,ineficacia_justicia
9,seguridad_publica
10,seguridad_publica
11,seguridad_publica
12,preocupacion_autoritaria
13,preocupacion_autoritaria
14,seguridad_publica
15,orden_disciplina
16,seguridad_publica
17,seguridad_publica
18,seguridad_publica
19,preocupacion_autoritaria
20,ineficacia_justicia
21,preocupacion_autoritaria
22,preocupacion_autoritaria
23,impacto_contextual
24,preocupacion_autoritaria
25,seguridad_publica
26,seguridad_publica
27,ineficacia_justicia
28,seguridad_publica
29,seguridad_publica
30,seguridad_publica
31,seguridad_publica
32,seguridad_publica
33,seguridad_publica
34,preocupacion_autoritaria
35,impacto_contextual
36,seguridad_publica
37,preocupacion_autoritaria
38,preocupacion_autoritaria
39,ineficacia_justicia
40,impacto_contextual
41,ineficacia_justicia
42,seguridad_publica
43,ineficacia_justicia
44,ineficacia_justicia
45,preocupacion_autoritaria
46,preocupacion_autoritaria
47,ineficacia_justicia
48,seguridad_publica
49,orden_disciplina
50,ineficacia_justicia
51,ineficacia_justicia
52,preocupacion_autoritaria
53,seguridad_publica
54,preocupacion_autoritaria
55,seguridad_publica
56,preocupacion_autoritaria
57,seguridad_publica
58,impacto_contextual
59,ineficacia_justicia
60,preocupacion_autoritaria
61,ineficacia_justicia
62,ineficacia_justicia
63,seguridad_publica
64,ineficacia_justicia
65,impacto_contextual
66,impacto_contextual
67,impacto_contextual
68,seguridad_publica
69,seguridad_publica
70,seguridad_publica
71,ineficacia_justicia
72,ineficacia_justicia
73,preocupacion_autoritaria
74,preocupacion_autoritaria
75,preocupacion_autoritaria
76,seguridad_publica
77,preocupacion_autoritaria
78,ineficacia_justicia
79,preocupacion_autoritaria
80,preocupacion_autoritaria
81,seguridad_publica
82,preocupacion_autoritaria
83,ineficacia_justicia
84,seguridad_publica
85,seguridad_publica
86,ineficacia_justicia
87,ineficacia_justicia
88,seguridad_publica
89,ineficacia_justicia
90,preocupacion_autoritaria
91,seguridad_publica
92,preocupacion_autoritaria
93,impacto_contextual
94,ineficacia_justicia
95,orden_disciplina
96,ineficacia_justicia
97,seguridad_publica
98,seguridad_publica
99,seguridad_publica
100,ineficacia_justicia
101,seguridad_publica
102,seguridad_publica
103,seguridad_publica
104,orden_disciplina
105,ineficacia_justicia
106,preocupacion_autoritaria
107,seguridad_publica
108,impacto_contextual
109,seguridad_publica
110,seguridad_publica
111,seguridad_publica
112,preocupacion_autoritaria
113,seguridad_publica
114,ineficacia_justicia
115,ineficacia_justicia
116,ineficacia_justicia
117,preocupacion_autoritaria
118,seguridad_publica
119,preocupacion_autoritaria
