codigo,descripcion
clase_politica,"Comentarios que expresan desinterés político debido a decepción y falta de confianza en los políticos; ej. promesas incumplidas, corrupción, intereses propios."
todos_iguales,"Comentarios que sostienen que todos los partidos son iguales en acciones y discursos, resaltando promesas incumplidas, cambios de postura, y peleas mediáticas."
individualismo,"Comentarios que atribuyen el desinterés al individualismo y falta de conciencia ciudadana, priorizando intereses personales sobre el bien común."
falta_educacion,"Comentarios que atribuyen el desinterés a la falta de conocimiento o comprensión sobre política y su impacto en la vida diaria."
fenomeno_normal,"Comentarios que ven el desinterés político como algo normal o esperable en la sociedad."
desinformacion,"Comentarios sin posición clara que mencionan desconocimiento o falta de opinión formada."
interes_vigente,"Comentarios que rechazan la premisa de desinterés y afirman la existencia de interés político."
desconfianza,"Comentarios que explican el desinterés por la pérdida de credibilidad en los políticos y una realidad percibida como inmutable."
apolitico,"Comentarios donde se afirma directamente la falta de interés por la política, sin argumentación adicional."
gobierno_pasado,"Comentarios que justifican el desinterés citando acciones de administraciones políticas pasadas."
gobierno_actual,"Comentarios que responsabilizan a la administración política actual del desinterés."
desinteres_generico,"Comentarios que manifiestan estar de acuerdo con el desinterés pero sin profundizar en motivos."
falta_seriedad,"Comentarios que mencionan la pérdida de seriedad en el sistema político, señalando discusiones sin acciones concretas o desvalorización de la formación de los políticos."
no_participativo,"Comentarios que atribuyen el desinterés a falta de oportunidades o invitaciones para la participación ciudadana."
